   1 2026-01-26 12:33:49,245 [INFO] [GRADING] Fetched 406 games total.
   1 2026-01-26 12:33:49,258 [INFO] [WARNING] ⚠️ No matching game found for bet a4a2ab3a101ee20952436e9fd0300457_VMI_Keydets__+2.5: 'UNC Greensboro Spartans @ VMI Keydets' (Sport: NCAAB). Checked against 406 live games.
   1 2026-01-26 12:33:49,279 [INFO] [WARNING] ⚠️ No matching game found for bet 515090724e6b67ea6bba1d4a94c18b2a_IUPUI_Jaguars__+14.5: 'IUPUI Jaguars @ Oakland Golden Grizzlies' (Sport: NCAAB). Checked against 406 live games.
   1 2026-01-26 12:33:49,298 [INFO] [WARNING] ⚠️ No matching game found for bet PROP_Sambou Soumano_AnytimeGoal_20260124: 'Rennes vs Lorient' (Sport: soccer_france_ligue_one). Checked against 406 live games.
   1 2026-01-26 12:33:49,302 [INFO] [WARNING] ⚠️ No matching game found for bet PROP_Pablo Pagis_AnytimeGoal_20260124: 'Rennes vs Lorient' (Sport: soccer_france_ligue_one). Checked against 406 live games.
   1 2026-01-26 12:33:49,316 [INFO] [WARNING] ⚠️ No matching game found for bet 515090724e6b67ea6bba1d4a94c18b2a_Under_177.5: 'IUPUI Jaguars @ Oakland Golden Grizzlies' (Sport: NCAAB). Checked against 406 live games.
   1 2026-01-26 12:33:49,356 [INFO] [WARNING] ⚠️ No matching game found for bet 0ce795fe9e883bddbff0893eb27150a1_Tennessee_Tech_Golden_Eagles__ML: 'Tennessee Tech Golden Eagles @ SIU-Edwardsville Cougars' (Sport: NCAAB). Checked against 406 live games.
   1 2026-01-26 12:33:49,361 [INFO] [WARNING] ⚠️ No matching game found for bet 0ce795fe9e883bddbff0893eb27150a1_Tennessee_Tech_Golden_Eagles__+7.5: 'Tennessee Tech Golden Eagles @ SIU-Edwardsville Cougars' (Sport: NCAAB). Checked against 406 live games.
   1 2026-01-26 12:33:49,365 [INFO] [WARNING] ⚠️ No matching game found for bet 0ce795fe9e883bddbff0893eb27150a1_Under_135.5: 'Tennessee Tech Golden Eagles @ SIU-Edwardsville Cougars' (Sport: NCAAB). Checked against 406 live games.
   1 2026-01-26 12:33:49,371 [INFO] [WARNING] ⚠️ No matching game found for bet 5360dd7d19329b58e7baadd83dccd42b_Richmond_Spiders__+10.5: 'Richmond Spiders @ GW Revolutionaries' (Sport: NCAAB). Checked against 406 live games.
   1 2026-01-26 12:33:49,375 [INFO] [WARNING] ⚠️ No matching game found for bet 5360dd7d19329b58e7baadd83dccd42b_Under_159.5: 'Richmond Spiders @ GW Revolutionaries' (Sport: NCAAB). Checked against 406 live games.
   1 2026-01-26 12:33:49,399 [INFO] [WARNING] ⚠️ No matching game found for bet 825a1074bf0e27d3abb05a9e5d769fa7_SIU-Edwardsville_Cougars__ML: 'Tennessee St Tigers @ SIU-Edwardsville Cougars' (Sport: NCAAB). Checked against 406 live games.
